device: cuda
train=107718  valid=11973  test=120363

=== single model ===
/home/nagle/miniconda3/envs/toehold_gpu/lib/python3.10/site-packages/torch/nn/modules/lazy.py:178: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
  [member3] epoch  46  val_pearson=0.8924
  [member3] epoch  47  val_pearson=0.8887
  [member3] epoch  48  val_pearson=0.8918
  [member3] epoch  49  val_pearson=0.8929
  [member3] epoch  50  val_pearson=0.8908
  [member3] epoch  51  val_pearson=0.8922
  [member3] decay LR -> 3.00e-04
  [member3] epoch  52  val_pearson=0.8948 *
  [member3] epoch  53  val_pearson=0.8946
  [member3] epoch  54  val_pearson=0.8941
  [member3] epoch  55  val_pearson=0.8938
  [member3] epoch  56  val_pearson=0.8944
  [member3] epoch  57  val_pearson=0.8952 *
  [member3] epoch  58  val_pearson=0.8947
  [member3] epoch  59  val_pearson=0.8958 *
  [member3] epoch  60  val_pearson=0.8954
  [member3] epoch  61  val_pearson=0.8948
  [member3] epoch  62  val_pearson=0.8953
  [member3] epoch  63  val_pearson=0.8948
  [member3] epoch  64  val_pearson=0.8954
  [member3] epoch  65  val_pearson=0.8953
  [member3] epoch  66  val_pearson=0.8960 *
  [member3] epoch  67  val_pearson=0.8961 *
  [member3] epoch  68  val_pearson=0.8958
  [member3] epoch  69  val_pearson=0.8964 *
  [member3] epoch  70  val_pearson=0.8954
  [member3] epoch  71  val_pearson=0.8951
  [member3] epoch  72  val_pearson=0.8955
  [member3] epoch  73  val_pearson=0.8955
  [member3] epoch  74  val_pearson=0.8954
  [member3] epoch  75  val_pearson=0.8956
  [member3] epoch  76  val_pearson=0.8959
  [member3] decay LR -> 9.00e-05
  [member3] epoch  77  val_pearson=0.8958
  [member3] epoch  78  val_pearson=0.8974 *
  [member3] epoch  79  val_pearson=0.8966
  [member3] epoch  80  val_pearson=0.8952
  [member3] epoch  81  val_pearson=0.8957
  [member3] epoch  82  val_pearson=0.8966
  [member3] epoch  83  val_pearson=0.8964
  [member3] epoch  84  val_pearson=0.8965
  [member3] epoch  85  val_pearson=0.8965
  [member3] decay LR -> 2.70e-05
  [member3] epoch  86  val_pearson=0.8965
  [member3] epoch  87  val_pearson=0.8965
